"ISO3","SC","Year","localroad_invest_billion","mainroad_invest_billion","main_road","local_rd","CarVKM","OM_road"
"JPN","LUT",2025,0,30.9267380052298,120736.062900682,1842577.40278842,685538390028.194,26921031226.4126
"KOR","LUT",2025,0,7.97857015624043,28358.7317618472,149205.609456675,159177508379.695,2667627369.70416
"MEX","LUT",2025,5.85176707066775,7.7562488958702,34120.0021532597,690372.432064661,143435680121.465,6707805041.73833
"IRN","LUT",2025,6.366052650347,5.41286613599458,19114.0559907663,300393.139874585,144302866055.018,2557148220.86908
"IRQ","LUT",2025,4.7233910961417,1.43906807019373,6202.8185230352,130547.224430606,22921060296.7373,1365243698.78851
"SAU","LUT",2025,0,5.075178156609,12919.5999746405,129455.5769559,77121833211.1878,1568369996.86141
"SYR","LUT",2025,0.368293761299028,0.959941182953466,4159.62026808675,13158.4564800827,11919682501.2525,246318506.588854
"JOR","LUT",2025,0.238360524349704,0.310520181673029,1416.8628130467,7523.27450698168,2097059680.66535,113102232.417148
"LBN","LUT",2025,0,0.214674830934867,871.88962561076,22180.6168282616,5368657770.42716,219116857.447503
"KWT","LUT",2025,0,2.70733007710133,6326.43354273952,25724.1357378974,19069764009.3526,407998003.838954
"QAT","LUT",2025,0,0.385984559942412,889.6457449801,9316.12562849196,8165801930.30145,129241270.879282
"ARE","LUT",2025,0,1.5462596538949,4110.86261206797,27986.9082024261,25345918344.872,423901198.708698
"OMN","LUT",2025,0,1.27356187031975,3058.4166418079,9473.63482507508,4156373882.48428,196305994.905511
"YEM","LUT",2025,0.150177893481065,0.444145091362031,855.219792739047,9317.63338507967,6391670052.71391,105852869.774809
"BHR","LUT",2025,0,0.211151910177475,523.258112861445,8710.49277833738,1504797329.98604,90923982.3962505
"NOR","LUT",2025,0,0.0460506206156226,246.193323463016,1744.58636751303,843725271.112045,27050969.5746325
"TUR","LUT",2025,9.05160043695317,1.96427066341543,12092.5108727377,329009.014924222,21608467995.042,4540830038.40708
