"SC","Year","ISO3","POP","GCAP","carPKM","motorPKM","ptPKM","walkPKM","cyclePKM"
"LUT",2045,"BOL",9353,23623.4933113011,10456257648.3627,6716840724.10361,30781431783.2739,401437397.21362,614465043.10227
"BAU",2050,"BOL",9933,27915.012813675,35761385513.4444,11872214044.4789,12085441907.3405,758237689.493311,1180824476.15301
"ROG",2050,"BOL",9933,27915.012813675,18921315706.1803,9313434240.75414,37242452096.4288,595811918.116027,927256376.68127
"LUT",2050,"BOL",9933,27915.012813675,10753887186.8427,6189173321.66488,37316549096.6181,363012378.287235,567830112.2307
"BAU",2015,"ARG",25888,29927.6075136239,147367715707.677,37239695751.3941,92720926192.1986,2287682502.05288,3704581588.81545
"ROG",2015,"ARG",25888,29927.6075136239,138526561592.878,39483141463.5032,94382046205.7424,2424940514.37383,3927590051.53191
"LUT",2015,"ARG",25888,29927.6075136239,138526561592.878,39483141463.5032,94382046205.7424,2424940514.37383,3927590051.53191
"BAU",2020,"ARG",27229,31597.7178279032,152628117212.242,41774377235.9821,103830265586.107,2542453349.88459,4156748048.49979
"ROG",2020,"ARG",27229,31597.7178279032,134852332340.496,46314915379.8462,107108661135.204,2818581682.11206,4608747548.50301
"LUT",2020,"ARG",27229,31597.7178279032,134852332340.496,46314915379.8462,107108661135.204,2818581682.11206,4608747548.50301
"BAU",2025,"ARG",28477,35154.0871481196,163532888600.656,45943703409.3325,113994600994.915,2751645224.25987,4595963521.48608
"ROG",2025,"ARG",28477,35154.0871481196,124196670267.667,51576536166.5531,135324584836.124,3093945126.98483,5162681967.89662
"LUT",2025,"ARG",28477,35154.0871481196,121707188916.837,51026998075.3413,135658615015.194,3044797047.90557,5086846118.89239
"BAU",2030,"ARG",29604,39376.3089904917,173056781240.241,50760029966.0463,125707656740.637,2982566783.81518,5111283708.62229
"ROG",2030,"ARG",29604,39376.3089904917,117057996856.99,54418158063.4167,169857189097.949,3210235838.19524,5487206089.10218
"LUT",2030,"ARG",29604,39376.3089904917,112300633079.798,53169364009.2343,170782623249.268,3103897652.69759,5319393911.94183
"BAU",2035,"ARG",30597,43795.7320829341,185077858783.709,54652265205.4205,134789492591.844,3148350010.2998,5549770923.99907
"ROG",2035,"ARG",30597,43795.7320829341,116402700367.111,54368127245.2101,203775044768.064,3155361117.5573,5533507029.97758
"LUT",2035,"ARG",30597,43795.7320829341,109130847745.225,52387510935.9366,205381911126.652,2991028208.09153,5269726134.84578
"BAU",2040,"ARG",31524,48292.6053686983,196054256782.366,58890326319.4054,144678609037.315,3321112297.14556,6027718970.88459
"ROG",2040,"ARG",31524,48292.6053686983,113998370725.975,54192611691.9023,240410007180.764,3093624709.06888,5565315513.68694
"LUT",2040,"ARG",31524,48292.6053686983,104382383991.206,51450955131.3211,242548403084.487,2871584570.04737,5202437335.77884
"BAU",2045,"ARG",32405,52948.2890461257,208862206817.31,62851097563.611,153853164966.565,3463210711.21946,6482585748.60223
"ROG",2045,"ARG",32405,52948.2890461257,113524861058.579,53295509719.9829,277319948815.724,2990694001.64272,5521262452.29025
"LUT",2045,"ARG",32405,52948.2890461257,101489637312.117,49830733495.8158,279800379710.482,2715921571.65809,5063932808.56725
"BAU",2050,"ARG",33218,57886.9116700408,220185464148.225,67433279876.2699,164503085025.52,3621879662.10327,7008402569.18522
"ROG",2050,"ARG",33218,57886.9116700408,109814514130.174,52559062577.0403,318476346990.854,2898361553.10819,5493348393.78922
"LUT",2050,"ARG",33218,57886.9116700408,95723997353.5301,48331596344.0056,321002969958.462,2570170644.52223,4936661570.16114
"BAU",2015,"KOR",33672,34949.4769387979,334645420682.007,19316464374.9484,198518930575.661,7179883424.87081,11579210148.0687
"ROG",2015,"KOR",33672,34949.4769387979,351823431507.946,18245872324.7682,187206646521.048,6769638764.25408,10917768061.6467
"LUT",2015,"KOR",33672,34949.4769387979,351823431507.946,18245872324.7682,187206646521.048,6769638764.25408,10917768061.6467
"BAU",2020,"KOR",34511,39722.6898555546,329313418422.3,22298662325.7898,230303795872.538,8148566452.74592,13465179357.1077
"ROG",2020,"KOR",34511,39722.6898555546,309659658351.203,23524859543.4347,234351050083.713,8615620787.31648,14235659494.7664
"LUT",2020,"KOR",34511,39722.6898555546,309659658351.203,23524859543.4347,234351050083.713,8615620787.31648,14235659494.7664
"BAU",2025,"KOR",35307,44526.2328797174,329521511676.688,24950033391.9961,258119356918.136,8953198896.60205,15165887667.0636
"ROG",2025,"KOR",35307,44526.2328797174,229241067133.084,28690384767.1638,311781146805.476,10336691957.3536,17501342484.8353
"LUT",2025,"KOR",35307,44526.2328797174,227506644998.793,28604220849.3648,314602564618.924,10304447047.6987,17446497319.0637
"BAU",2030,"KOR",35987,48987.2023547444,326461884024.316,27626266610.3988,286211695104.492,9745968902.37199,16894926533.4111
"ROG",2030,"KOR",35987,48987.2023547444,188333675323.786,30773672460.3597,385127184151.665,10904006831.2864,18887072036.5827
"LUT",2030,"KOR",35987,48987.2023547444,185908816268.736,30505188058.7189,390885368823.86,10805875050.0363,18716485554.9781
